                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.0061,                 2.0914,                0.82317,                 1.2915,                0.91993,                 0.8276,                0.86195,                0.75575,                0.91479,                0.82232,                0.84915,                0.70819,                0.44219,                0.82609,                0.40765,                0.96069,               0.006997,               0.006997,               0.006997
                     94,                0.99629,                 2.0634,                0.80984,                 1.2785,                0.92014,                0.82557,                0.85951,                0.75611,                 0.9138,                0.81839,                0.84838,                  0.709,                0.44267,                0.81097,                0.40414,                0.96036,               0.006964,               0.006964,               0.006964
                     95,                0.99861,                 2.0728,                0.81415,                 1.2842,                0.91736,                 0.8239,                0.86067,                0.75422,                0.91821,                0.82147,                0.84915,                 0.7087,                0.44371,                0.81159,                0.40906,                0.96121,               0.006931,               0.006931,               0.006931
                     96,                0.99523,                 2.0826,                0.81845,                 1.2822,                0.92756,                0.82229,                0.86472,                0.75959,                0.92179,                0.81563,                0.84982,                0.71688,                0.43191,                0.80716,                0.39918,                0.95482,               0.006898,               0.006898,               0.006898
                     97,                 1.0023,                  2.084,                0.81655,                 1.2883,                0.91128,                0.82728,                0.86202,                0.76203,                0.90673,                0.82202,                0.84968,                0.71357,                0.43018,                0.80014,                0.40346,                0.95721,               0.006865,               0.006865,               0.006865
                     98,                0.99973,                 2.0934,                0.82024,                 1.2893,                0.91529,                0.83034,                 0.8615,                0.75926,                0.91575,                0.81986,                0.85342,                0.71444,                0.43657,                0.81367,                 0.4075,                0.95862,               0.006832,               0.006832,               0.006832
                     99,                0.98316,                 2.0343,                0.80418,                  1.273,                 0.9197,                0.82794,                 0.8649,                0.76341,                0.91654,                0.82112,                0.85091,                0.71461,                0.43152,                0.79977,                0.40239,                0.95614,               0.006799,               0.006799,               0.006799
                    100,                0.99885,                 2.0855,                0.81786,                 1.2866,                0.92687,                0.82677,                0.86171,                0.76172,                0.92453,                0.82191,                0.85077,                0.71428,                0.43451,                0.81363,                0.39849,                0.95702,               0.006766,               0.006766,               0.006766
                    101,                0.99713,                 2.0736,                0.81344,                  1.285,                 0.9184,                0.82963,                0.86575,                0.76186,                0.91114,                0.82241,                0.85083,                0.71234,                0.43177,                0.80346,                0.40294,                0.95303,               0.006733,               0.006733,               0.006733
                    102,                0.98287,                 2.0516,                0.79614,                 1.2686,                0.92384,                0.81866,                0.86024,                0.75999,                0.90824,                0.82986,                0.85485,                0.71361,                0.43289,                0.80901,                0.40576,                0.95744,                 0.0067,                 0.0067,                 0.0067
                    103,                0.99261,                 2.0586,                0.80335,                 1.2757,                0.90912,                0.83467,                0.86268,                0.76207,                0.90623,                0.82451,                0.85152,                 0.7115,                0.43146,                0.80369,                0.40189,                0.95441,               0.006667,               0.006667,               0.006667
                    104,                0.98696,                 2.0559,                0.80479,                 1.2717,                0.91263,                0.83195,                0.86416,                0.76369,                0.90817,                0.82558,                0.85151,                0.71337,                0.42515,                0.82794,                0.39253,                0.94837,               0.006634,               0.006634,               0.006634
